Depth,Name,Statistic,#Cells
,Specimen_001_apc_003.fcs,,10000
> ,Specimen_001_apc_003.fcs/live,77.2,7720
> > ,Specimen_001_apc_003.fcs/live/BFP+,0.039,3
> > > ,Specimen_001_apc_003.fcs/live/BFP+,43476,
> > > ,Specimen_001_apc_003.fcs/live/BFP+,379,
> > > ,Specimen_001_apc_003.fcs/live/BFP+,115574,
> > > ,Specimen_001_apc_003.fcs/live/BFP+,383,
> > > ,Specimen_001_apc_003.fcs/live/BFP+,81368,
> > > ,Specimen_001_apc_003.fcs/live/BFP+,343,
> > > ,"Specimen_001_apc_003.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0,0
> > > ,"Specimen_001_apc_003.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",33.3,1
> > > ,"Specimen_001_apc_003.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",66.7,2
> > > ,"Specimen_001_apc_003.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_ctrl_001.fcs,,10000
> ,Specimen_001_ctrl_001.fcs/live,79.2,7916
> > ,Specimen_001_ctrl_001.fcs/live/BFP+,0.051,4
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,673,
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,291,
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,1462,
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,353,
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,427,
> > > ,Specimen_001_ctrl_001.fcs/live/BFP+,284,
> > > ,"Specimen_001_ctrl_001.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0,0
> > > ,"Specimen_001_ctrl_001.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",25,1
> > > ,"Specimen_001_ctrl_001.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",50,2
> > > ,"Specimen_001_ctrl_001.fcs/live/BFP+/Q4: APC-A- , FITC-A-",25,1
,Specimen_001_fitc_002.fcs,,10000
> ,Specimen_001_fitc_002.fcs/live,70.1,7010
> > ,Specimen_001_fitc_002.fcs/live/BFP+,0.014,1
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,355,
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,654,
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,355,
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,654,
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,355,
> > > ,Specimen_001_fitc_002.fcs/live/BFP+,654,
> > > ,"Specimen_001_fitc_002.fcs/live/BFP+/Q1: APC-A- , FITC-A+",100,1
> > > ,"Specimen_001_fitc_002.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",0,0
> > > ,"Specimen_001_fitc_002.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",0,0
> > > ,"Specimen_001_fitc_002.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_sbfp_1_026.fcs,,287011
> ,Specimen_001_sbfp_1_026.fcs/live,62.1,178193
> > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,1.89,3370
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,7097,
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,460,
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,10340,
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,566,
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,8117,
> > > ,Specimen_001_sbfp_1_026.fcs/live/BFP+,434,
> > > ,"Specimen_001_sbfp_1_026.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.15,5
> > > ,"Specimen_001_sbfp_1_026.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",56.4,1899
> > > ,"Specimen_001_sbfp_1_026.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",43.3,1460
> > > ,"Specimen_001_sbfp_1_026.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.18,6
,Specimen_001_sbfp_2_027.fcs,,217961
> ,Specimen_001_sbfp_2_027.fcs/live,64.3,140075
> > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,1.83,2568
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,6800,
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,465,
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,9974,
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,577,
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,7534,
> > > ,Specimen_001_sbfp_2_027.fcs/live/BFP+,436,
> > > ,"Specimen_001_sbfp_2_027.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.12,3
> > > ,"Specimen_001_sbfp_2_027.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",55.3,1419
> > > ,"Specimen_001_sbfp_2_027.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",44.5,1142
> > > ,"Specimen_001_sbfp_2_027.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.16,4
,Specimen_001_sbfp_3_028.fcs,,75508
> ,Specimen_001_sbfp_3_028.fcs/live,56.8,42896
> > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,1.73,741
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,8598,
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,509,
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,12968,
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,627,
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,10457,
> > > ,Specimen_001_sbfp_3_028.fcs/live/BFP+,472,
> > > ,"Specimen_001_sbfp_3_028.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.13,1
> > > ,"Specimen_001_sbfp_3_028.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",62.8,465
> > > ,"Specimen_001_sbfp_3_028.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",37.1,275
> > > ,"Specimen_001_sbfp_3_028.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_untrans_004.fcs,,10000
> ,Specimen_001_untrans_004.fcs/live,61.4,6138
> > ,Specimen_001_untrans_004.fcs/live/BFP+,2.83,174
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,16724,
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,669,
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,21801,
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,768,
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,18933,
> > > ,Specimen_001_untrans_004.fcs/live/BFP+,636,
> > > ,"Specimen_001_untrans_004.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0,0
> > > ,"Specimen_001_untrans_004.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",85.6,149
> > > ,"Specimen_001_untrans_004.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",14.4,25
> > > ,"Specimen_001_untrans_004.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_0-500_1_008.fcs,,233318
> ,Specimen_001_0-500_1_008.fcs/live,64.5,150561
> > ,Specimen_001_0-500_1_008.fcs/live/BFP+,2.05,3086
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,12659,
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,1233,
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,18481,
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,1446,
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,14954,
> > > ,Specimen_001_0-500_1_008.fcs/live/BFP+,1164,
> > > ,"Specimen_001_0-500_1_008.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.032,1
> > > ,"Specimen_001_0-500_1_008.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",99.7,3077
> > > ,"Specimen_001_0-500_1_008.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",0.26,8
> > > ,"Specimen_001_0-500_1_008.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_0-500_2_009.fcs,,229276
> ,Specimen_001_0-500_2_009.fcs/live,65.2,149499
> > ,Specimen_001_0-500_2_009.fcs/live/BFP+,1.1,1638
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,8240,
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,608,
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,12387,
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,725,
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,9167,
> > > ,Specimen_001_0-500_2_009.fcs/live/BFP+,568,
> > > ,"Specimen_001_0-500_2_009.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.24,4
> > > ,"Specimen_001_0-500_2_009.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",76.9,1259
> > > ,"Specimen_001_0-500_2_009.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",22.8,373
> > > ,"Specimen_001_0-500_2_009.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.12,2
,Specimen_001_0-500_3_010.fcs,,284058
> ,Specimen_001_0-500_3_010.fcs/live,63.4,179961
> > ,Specimen_001_0-500_3_010.fcs/live/BFP+,1.25,2243
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,6152,
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,474,
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,9322,
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,561,
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,6588,
> > > ,Specimen_001_0-500_3_010.fcs/live/BFP+,445,
> > > ,"Specimen_001_0-500_3_010.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.089,2
> > > ,"Specimen_001_0-500_3_010.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",58.1,1303
> > > ,"Specimen_001_0-500_3_010.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",41.5,930
> > > ,"Specimen_001_0-500_3_010.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.36,8
,Specimen_001_1-240_1_005.fcs,,59937
> ,Specimen_001_1-240_1_005.fcs/live,59.9,35931
> > ,Specimen_001_1-240_1_005.fcs/live/BFP+,1.99,714
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,12710,
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,554,
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,17946,
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,606,
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,14732,
> > > ,Specimen_001_1-240_1_005.fcs/live/BFP+,543,
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0,0
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",77.2,551
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",22.8,163
> > > ,"Specimen_001_1-240_1_005.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0,0
,Specimen_001_1-240_2_006.fcs,,46933
> ,Specimen_001_1-240_2_006.fcs/live,59.9,28115
> > ,Specimen_001_1-240_2_006.fcs/live/BFP+,1.2,337
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,9252,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,387,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,15101,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,464,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,10588,
> > > ,Specimen_001_1-240_2_006.fcs/live/BFP+,388,
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.59,2
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",45.4,153
> > > ,"Specimen_001_1-240_2_006.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",53.7,181
